Method,Avg L1,Avg L2,Avg Sparsity,Avg #Changed,Diversity
Wachter,0.40533206183192044,2.5982266876634355,0.0,30.0,0.0
DiCE,0.7993094218873863,11.980911747537705,0.7888888888888889,6.333333333333333,14.009095436340077
